date,open,high,low,close,volume,ticker,label,label_name,event_date,event_type,ret_horizon,ma_5,ma_10,ma_20,close_over_ma5,close_over_ma10,close_over_ma20,rsi_14,vol_ma20,vol_ratio20,ret_1d
2015-01-30,26.2478,26.5983,25.904,25.9767,377603038.0,AAPL,1,Up,2015-02-11,pt_first,0.1059025973276051,25.433960000000003,24.90181,24.529425,0.021339185875851818,0.043165135385699216,0.05900158686960433,44.093935145143774,309163253.1,1.2213710206945676,-0.014679274912095086
2015-02-02,26.1721,26.4225,25.7344,26.2968,282595615.0,AAPL,1,Up,2015-02-11,pt_first,0.09498113838946187,25.678880000000003,25.18212,24.632395000000002,0.024063354788019353,0.04426474022040061,0.06756975925397968,46.494117173422616,311295080.6,0.9078062346996176,0.01232258139024589
2015-02-03,26.2693,26.4058,26.073,26.3018,234099885.0,AAPL,1,Up,2015-02-11,pt_first,0.08767460782151804,26.100620000000003,25.40251,24.76971,0.0077078628783144865,0.03540161976115619,0.06185336848913203,46.532730949278346,308507649.75,0.7588138744361881,0.00019013720300575798
2015-02-04,26.2693,26.7162,26.2312,26.5003,316111926.0,AAPL,1,Up,2015-02-12,pt_first,0.06166722640875766,26.287860000000002,25.6235,24.916850000000004,0.008081296841925933,0.0342185884051347,0.06354936518857457,48.13305022320075,309483315.55,1.0214183127714653,0.007547011991574593
2015-02-05,26.7123,26.7605,26.5336,26.6945,189753061.0,AAPL,1,Up,2015-02-12,pt_first,0.055528292344865005,26.354020000000002,25.801160000000003,25.056990000000003,0.012919471109113179,0.034624024656215724,0.06535142489177415,49.71866905951233,309934676.45,0.6122356593764744,0.007328218925823471
2015-02-06,26.7123,26.7644,26.3676,26.4628,196270421.0,AAPL,1,Up,2015-02-11,pt_first,0.06922547878531371,26.451240000000002,25.9426,25.139734999999998,0.0004370305512708672,0.020051960867414342,0.05262843860521804,47.83954014225682,306366168.9,0.6406399952863725,-0.008679690572964471
2015-02-09,26.3902,26.673,26.3637,26.6436,174625161.0,AAPL,1,Up,2015-02-12,pt_first,0.03999084207839787,26.5206,26.099739999999997,25.230185,0.00463790411977838,0.020837755471854624,0.05602079413999328,49.44521076404547,302989216.8,0.5763411742645225,0.006832232416826622
2015-02-10,26.7478,27.1818,26.7448,27.1562,278253790.0,AAPL,1,Up,2015-02-17,pt_first,0.0017749169618723748,26.691480000000002,26.396050000000002,25.377119999999998,0.017410799251258435,0.028797869378144325,0.07010566998930257,53.78860259680571,305709957.85,0.9101888337459008,0.01923914185770692
2015-02-11,27.3242,27.8005,27.2663,27.7907,330207944.0,AAPL,1,Up,2015-02-23,pt_first,-0.015760668137182687,26.949559999999998,26.61871,25.544625,0.031211641303196647,0.04402880530269715,0.08792749942498324,58.53717734114879,307093128.15,1.0752697267739237,0.02336483013087265
2015-02-12,28.0548,28.3732,27.9487,28.1471,334473021.0,AAPL,1,Up,2015-02-23,pt_first,-0.022545839535866863,27.24008,26.797050000000002,25.734665,0.03329725903884895,0.05038054561972105,0.09374262303390801,60.96364332099803,312788850.0,1.0693252684678498,0.012824434073269053
2015-02-13,28.3268,28.3268,27.9682,28.2818,243080963.0,AAPL,1,Up,2015-02-24,pt_first,-0.016777574270378848,27.603879999999997,27.02756,25.964684999999996,0.024558866362228038,0.046405964874334016,0.089241021025247,61.87183155252709,311431835.8,0.7805270208666316,0.004785572936466087
2015-02-17,28.3762,28.6815,28.2453,28.4538,283501013.0,AAPL,0,Hold,2015-03-17,time_exit,-0.00639281923679802,27.96592,27.24326,26.21269,0.017445519403580745,0.04443447663748601,0.08549713898111633,63.0538422503765,307902273.4,0.9207499830041853,0.0060816496828348665
2015-02-18,28.4075,28.6588,28.3663,28.6452,201621202.0,AAPL,-1,Down,2015-03-11,sl_first,-0.0019165514641196202,28.26372,27.477600000000002,26.440055,0.013497161732390017,0.042492794130453815,0.08340167976197166,64.3772717508241,299409617.35,0.6733958774754768,0.006726693798367878
2015-02-19,28.5933,28.714,28.5608,28.5863,167723365.0,AAPL,-1,Down,2015-03-12,sl_first,-0.007283209089668841,28.422839999999997,27.686200000000003,26.65485,0.005751008695788373,0.03251078154455889,0.0724614844952769,63.6220109103451,295413729.75,0.5677575146623665,-0.0020561909150572655
2015-02-20,28.6226,28.8239,28.5027,28.8239,219797660.0,AAPL,-1,Down,2015-03-11,sl_first,-0.02770617439000267,28.5582,27.89914,26.850150000000003,0.009303807662912611,0.03314654143457352,0.07350983141617173,65.38613959856681,289146406.75,0.760160440762593,0.00831167377380071
2015-02-23,28.9488,29.6047,28.8632,29.6047,318616822.0,AAPL,-1,Down,2015-03-05,sl_first,-0.0436923866818445,28.82278,28.213329999999996,27.077965,0.027128542076752193,0.04931605024996899,0.093313326906173,70.45642766019084,293697545.5,1.0848467305287712,0.027088631309434286
2015-02-24,29.591,29.7333,29.189,29.4162,310819467.0,AAPL,-1,Down,2015-03-09,sl_first,-0.041470346271782144,29.01526,28.490589999999997,27.295165000000004,0.013818245985008693,0.03248827068863691,0.07770735219951663,67.87162680794917,296707173.5,1.0475630344003126,-0.006367232230017561
2015-02-25,29.2784,29.2883,28.5216,28.6617,335454614.0,AAPL,-1,Down,2015-03-11,sl_first,-0.04179793941043275,29.01856,28.641139999999996,27.518594999999998,-0.012297646747495006,0.0007178485213579222,0.041539366381131204,58.60404119551341,292020794.1,1.1487353667188729,-0.025649132110877715
2015-02-26,28.6617,29.1205,28.1795,29.0274,410007168.0,AAPL,-1,Down,2015-03-10,sl_first,-0.04744827301101728,29.106779999999997,28.76481,27.69176,-0.0027271996421793787,0.009128862662364012,0.048232398374063346,61.358182937817006,279261829.1,1.468181918457541,0.012759187347575418
2015-02-27,28.9428,29.0556,28.5409,28.5883,278537258.0,AAPL,-1,Down,2015-03-12,sl_first,-0.04043962040415128,29.05966,28.808929999999997,27.80299,-0.016220423776499238,-0.007658389256421039,0.028245523233255687,56.49767066255343,274157669.7,1.0159747064701579,-0.015127086821416946
2015-03-02,28.7669,28.9997,28.5538,28.7277,216099816.0,AAPL,-1,Down,2015-03-11,sl_first,-0.020997156054957333,28.88426,28.853520000000003,27.94054,-0.0054202531067437665,-0.0043606464653531685,0.028172683849309044,57.64476894530617,266082508.6,0.8121534073660639,0.004876120650755711
2015-03-03,28.7012,28.8288,28.5106,28.7945,169909592.0,AAPL,-1,Down,2015-03-11,sl_first,-0.03827119762454634,28.75992,28.88759,28.065424999999998,0.0012023677395138765,-0.0032224910420355357,0.025977693193635076,58.21339089517245,260448207.45,0.6523738199757766,0.002325281870807716
2015-03-04,28.7305,28.8384,28.5588,28.6078,142277860.0,AAPL,-1,Down,2015-03-11,sl_first,-0.03337201742182205,28.74914,28.883849999999995,28.180724999999995,-0.004916320975201116,-0.009557243927003634,0.015154862055500429,55.95245499184596,255857106.2,0.5560832845845733,-0.006483877129312865
2015-03-05,28.6156,28.6548,27.9942,28.1345,253933437.0,AAPL,0,Hold,2015-04-02,time_exit,-0.008665517425225255,28.57056,28.838669999999997,28.262435,-0.015262563981979449,-0.024417561558871204,-0.004526680026013086,50.58840061193824,252748181.75,1.0046894709263323,-0.016544438929243177
2015-03-06,28.5734,28.7965,28.101,28.1768,327281811.0,AAPL,0,Hold,2015-04-06,time_exit,0.005813293205757963,28.488259999999997,28.77396,28.33655,-0.0109329246503993,-0.02075348683326783,-0.005637595261278827,51.040155233165116,259624619.25,1.2605962098103298,0.0015034921537613322
2015-03-09,28.482,28.8414,27.8338,28.2947,397761392.0,AAPL,0,Hold,2015-04-07,time_exit,-0.008824974288470844,28.40166,28.642960000000006,28.428144999999994,-0.003765977059122405,-0.012158659579910469,-0.004694115637900009,52.34787323365738,269699167.8,1.4748335904950463,0.004184293461287236
2015-03-10,28.1345,28.3142,27.5551,27.7091,309374811.0,AAPL,0,Hold,2015-04-08,time_exit,0.008932083683699688,28.18458,28.472250000000003,28.481419999999996,-0.01687021768644348,-0.026803290923652856,-0.027116625505363423,45.80380824296813,276436650.3,1.119152654556674,-0.020696455519938373
